hhidpn,F_4_leisure_07,F_4_leisure_09,F_4_leisure_11,F_4_leisure_13,F_4_leisure_15,F_4_leisure_17,F_4_leisure_19,F_3_leisure_07,F_3_leisure_09,F_3_leisure_11,F_3_leisure_13,F_3_leisure_15,F_3_leisure_17,F_3_leisure_19,F_3_leisuremp_07,F_3_leisuremp_09,F_3_leisuremp_11,F_3_leisuremp_13,F_3_leisuremp_15,F_3_leisuremp_17,F_3_leisuremp_19,agegroup
141058011,14,12,16,16,10,16,14,6,8,8,8,6,8,6,6,8,8,8,6,8,6,0
141144010,,,4,1,3,1,8,,,4,1,3,1,4,,,4,1,3,1,4,0
141144020,16,16,8,8,16,16,16,8,8,4,4,8,8,8,8,8,4,4,8,8,8,0
141187010,12,12,12,16,12,7,15,8,8,8,8,8,3,7,8,4,4,8,4,3,7,0
141324010,4,12,2,10,2,2,2,4,8,2,6,2,2,2,4,4,2,2,2,2,2,0
141324020,9,10,9,14,9,10,10,5,6,5,6,5,6,6,5,6,1,6,5,6,6,0
141559010,16,16,12,2,16,16,16,8,8,8,2,8,8,8,8,8,8,2,8,8,8,0
141624010,12,16,12,16,12,12,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0
142813010,16,4,12,12,16,4,11,8,4,8,8,8,4,7,8,4,4,4,8,4,3,0
142813020,1,6,6,6,6,6,6,1,2,2,2,2,2,2,1,2,2,2,2,2,2,0
142861010,12,14,14,14,12,16,,8,6,6,6,8,8,,8,6,6,6,8,8,,1
143155010,2,2,2,1,6,5,5,2,2,2,1,2,1,1,2,2,2,1,2,1,1,0
143155011,,,,14,14,10,8,,,,6,6,6,4,,,,6,6,2,4,0
143190010,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,0
143557010,10,10,10,16,14,14,16,6,6,6,8,6,6,8,2,2,2,8,6,6,8,0
143838010,12,3,12,12,11,12,12,8,3,8,8,7,8,8,4,3,4,4,7,4,4,0
143838020,8,16,16,16,16,16,,4,8,8,8,8,8,,4,8,8,8,8,8,,0
143950010,6,9,12,,8,4,10,2,5,8,,4,4,6,2,1,4,,4,4,2,1
144052020,10,2,2,10,2,10,2,6,2,2,6,2,6,2,2,2,2,2,2,2,2,0
144110010,14,,3,11,,9,,6,,3,7,,5,,6,,3,3,,1,,0
144110020,14,12,12,11,,12,,6,8,8,7,,8,,6,8,4,3,,8,,0
144267010,12,10,16,12,10,12,12,8,6,8,8,6,8,8,4,2,8,4,6,8,8,0
144276010,2,10,9,9,2,14,,2,6,5,5,2,6,,2,6,1,1,2,6,,0
144305020,10,2,14,10,10,10,10,6,2,6,6,6,6,6,6,2,6,2,2,2,2,0
144378010,12,12,12,,16,,10,8,8,8,,8,,6,4,4,8,,8,,6,0
144378020,3,12,,,15,,,3,8,,,7,,,3,4,,,7,,,0
144444010,9,9,9,9,9,10,10,5,5,5,5,5,6,6,1,1,1,1,1,2,2,1
144444020,1,10,1,2,2,10,1,1,6,1,2,2,6,1,1,2,1,2,2,2,1,0
144785010,1,1,1,1,,1,,1,1,1,1,,1,,1,1,1,1,,1,,0
145073010,10,10,6,2,10,10,12,6,6,2,2,6,6,8,2,2,2,2,2,2,4,1
145073020,12,12,12,12,12,,,8,8,8,8,8,,,8,8,8,8,8,,,1
145086010,10,1,12,4,,12,12,6,1,8,4,,8,8,2,1,8,4,,4,4,0
145310010,,,16,16,16,16,,,,8,8,8,8,,,,8,8,8,8,,1
145446010,16,16,,11,12,10,3,8,8,,7,8,6,3,8,8,,3,4,6,3,0
145446020,10,16,,16,8,12,8,6,8,,8,4,8,4,2,8,,8,4,4,4,0
145537010,9,15,9,11,,,,5,7,5,7,,,,1,7,1,3,,,,0
145751010,16,10,12,16,16,,16,8,6,8,8,8,,8,8,6,8,8,8,,8,0
145768020,16,16,16,16,13,13,16,8,8,8,8,5,5,8,8,8,8,8,5,5,8,0
145797010,11,16,16,16,12,10,16,7,8,8,8,8,6,8,7,8,8,8,4,6,8,0
145927010,16,16,12,16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0
145927020,10,15,16,9,11,11,11,6,7,8,5,7,7,7,2,7,8,5,7,7,3,0
146110010,16,14,16,16,16,12,,8,6,8,8,8,8,,8,6,8,8,8,8,,0
146110020,12,12,10,12,11,10,10,8,8,6,8,7,6,6,8,8,6,8,7,6,6,0
